Module,pre_proc,vt_impl11,vt_impl111,vt_impl111,vt_impl111,gox_time,gox_time,post_proc,post_proc,post_proc,post_proc,nmos,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd
Parameter,xc1,pt_eng,pt_dose,Bmax_act,Bsur_act,Time_gox,tox_gn,n_energy,xj_nch,Bmax_nch,Bsur_nch,Lg,Vt0,Vts,Ion,Ioffs,St0,Sts,Gms,Gds,Vdibl,Ronoff,Icrit,Av,dSt
Unit,,,,cm**-3,cm**-3,,um,,um,cm**-3,cm**-3,,V,V,A/um,A/um,mV/dec,mV/dec,S/um,S/um,V,A/A,A/um,V/V,%
Parameter Type,GlobalParamSplit,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam
Wafer 193,3.2,600,9.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.355158,2.49E+17,2.65E+16,10,8.55E-01,8.51E-01,5.20E-05,2.79E-14,1.06E+02,1.05E+02,2.18E-05,5.04E-07,3.33E-03,1.87E+09,2.14E-08,4.33E+01,-2.28E-01
Wafer 185,3.2,600,7.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.35587,1.95E+17,2.65E+16,10,8.55E-01,8.51E-01,5.21E-05,2.95E-14,1.06E+02,1.05E+02,2.19E-05,5.01E-07,3.35E-03,1.76E+09,2.14E-08,4.36E+01,-2.30E-01
Wafer 177,3.2,600,5.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.356588,1.45E+17,2.64E+16,10,8.54E-01,8.51E-01,5.21E-05,2.89E-14,1.06E+02,1.05E+02,2.19E-05,4.98E-07,3.38E-03,1.80E+09,2.14E-08,4.39E+01,-2.32E-01
Wafer 169,3.2,600,3.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.357312,1.45E+17,2.64E+16,10,8.54E-01,8.51E-01,5.21E-05,2.84E-14,1.06E+02,1.05E+02,2.19E-05,4.96E-07,3.40E-03,1.84E+09,2.14E-08,4.41E+01,-2.34E-01
Wafer 161,3.2,600,1.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.358043,1.45E+17,2.64E+16,10,8.54E-01,8.51E-01,5.22E-05,3.27E-14,1.06E+02,1.05E+02,2.19E-05,4.91E-07,3.45E-03,1.59E+09,2.14E-08,4.46E+01,-2.39E-01
Wafer 153,3.2,450,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.347771,2.75E+17,2.65E+16,10,8.55E-01,8.52E-01,5.19E-05,2.11E-14,1.06E+02,1.05E+02,2.18E-05,5.11E-07,3.24E-03,2.46E+09,2.14E-08,4.26E+01,-2.20E-01
Wafer 145,3.2,450,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.349988,2.15E+17,2.65E+16,10,8.55E-01,8.51E-01,5.19E-05,2.07E-14,1.06E+02,1.05E+02,2.18E-05,5.10E-07,3.29E-03,2.51E+09,2.14E-08,4.27E+01,-2.25E-01
Wafer 137,3.2,450,5.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.352287,1.54E+17,2.65E+16,10,8.55E-01,8.51E-01,5.20E-05,2.65E-14,1.06E+02,1.05E+02,2.18E-05,5.12E-07,3.33E-03,1.96E+09,2.14E-08,4.26E+01,-2.28E-01
Wafer 129,3.2,450,3.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.35467,1.45E+17,2.65E+16,10,8.54E-01,8.51E-01,5.20E-05,2.62E-14,1.06E+02,1.05E+02,2.18E-05,5.04E-07,3.38E-03,1.98E+09,2.14E-08,4.33E+01,-2.33E-01
Wafer 121,3.2,450,1.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.357305,1.43E+17,2.65E+16,10,8.54E-01,8.51E-01,5.22E-05,2.91E-14,1.06E+02,1.05E+02,2.19E-05,4.85E-07,3.51E-03,1.79E+09,2.14E-08,4.51E+01,-2.42E-01
Wafer 113,3.2,300,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.32256,2.91E+17,2.66E+16,10,8.57E-01,8.54E-01,5.16E-05,2.39E-14,1.06E+02,1.05E+02,2.15E-05,3.87E-07,2.83E-03,2.16E+09,2.14E-08,5.56E+01,-1.76E-01
Wafer 105,3.2,300,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.322701,2.27E+17,2.66E+16,10,8.56E-01,8.53E-01,5.16E-05,2.20E-14,1.06E+02,1.05E+02,2.15E-05,4.05E-07,2.96E-03,2.35E+09,2.14E-08,5.32E+01,-1.90E-01
Wafer 97,3.2,300,5.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.325636,1.63E+17,2.71E+16,10,8.55E-01,8.52E-01,5.17E-05,1.95E-14,1.06E+02,1.05E+02,2.16E-05,4.57E-07,3.17E-03,2.65E+09,2.14E-08,4.73E+01,-2.10E-01
Wafer 89,3.2,300,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.336026,1.44E+17,2.65E+16,10,8.55E-01,8.51E-01,5.19E-05,2.36E-14,1.06E+02,1.05E+02,2.17E-05,4.92E-07,3.35E-03,2.20E+09,2.14E-08,4.41E+01,-2.28E-01
Wafer 81,3.2,300,1.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.349684,1.43E+17,2.65E+16,10,8.54E-01,8.51E-01,5.20E-05,2.76E-14,1.06E+02,1.05E+02,2.18E-05,5.01E-07,3.50E-03,1.88E+09,2.14E-08,4.36E+01,-2.42E-01
Wafer 73,3.2,250,9.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.321679,3.15E+17,2.67E+16,10,8.58E-01,8.56E-01,5.14E-05,2.48E-14,1.06E+02,1.05E+02,2.14E-05,3.59E-07,2.54E-03,2.07E+09,2.15E-08,5.96E+01,-1.41E-01
Wafer 65,3.2,250,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322017,2.46E+17,2.67E+16,10,8.57E-01,8.55E-01,5.15E-05,2.20E-14,1.06E+02,1.05E+02,2.15E-05,3.69E-07,2.75E-03,2.35E+09,2.15E-08,5.82E+01,-1.65E-01
Wafer 57,3.2,250,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322356,1.77E+17,2.66E+16,10,8.56E-01,8.53E-01,5.16E-05,1.91E-14,1.06E+02,1.05E+02,2.15E-05,3.90E-07,2.98E-03,2.70E+09,2.15E-08,5.53E+01,-1.89E-01
Wafer 49,3.2,250,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322694,1.44E+17,2.66E+16,10,8.55E-01,8.52E-01,5.17E-05,1.70E-14,1.06E+02,1.05E+02,2.16E-05,4.27E-07,3.21E-03,3.05E+09,2.15E-08,5.07E+01,-2.13E-01
Wafer 41,3.2,250,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.339867,1.44E+17,2.65E+16,10,8.54E-01,8.51E-01,5.20E-05,4.22E-14,1.06E+02,1.05E+02,2.18E-05,5.15E-07,3.47E-03,1.23E+09,2.14E-08,4.23E+01,-2.37E-01
Wafer 33,3.2,150,9.00E+12,3.76E+17,3.90E+16,30,0.019967,130,0.31508,3.17E+17,2.77E+16,10,8.75E-01,8.76E-01,4.98E-05,2.60E-14,1.06E+02,1.06E+02,2.07E-05,3.46E-07,-4.99E-04,1.92E+09,2.16E-08,6.00E+01,2.11E-01
Wafer 25,3.2,150,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.316817,2.48E+17,2.75E+16,10,8.71E-01,8.71E-01,5.02E-05,3.13E-14,1.06E+02,1.06E+02,2.09E-05,3.40E-07,1.54E-04,1.61E+09,2.16E-08,6.13E+01,1.31E-01
Wafer 17,3.2,150,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.318591,1.79E+17,2.72E+16,10,8.66E-01,8.65E-01,5.06E-05,2.78E-14,1.06E+02,1.06E+02,2.10E-05,3.39E-07,9.34E-04,1.82E+09,2.16E-08,6.20E+01,3.78E-02
Wafer 9,3.2,150,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.320405,1.49E+17,2.69E+16,10,8.61E-01,8.60E-01,5.11E-05,4.17E-14,1.06E+02,1.06E+02,2.12E-05,3.42E-07,1.86E-03,1.23E+09,2.15E-08,6.21E+01,-6.44E-02
Wafer 1,3.2,150,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.322261,1.45E+17,2.66E+16,10,8.56E-01,8.53E-01,5.16E-05,7.73E-14,1.06E+02,1.05E+02,2.15E-05,3.83E-07,2.98E-03,6.68E+08,2.15E-08,5.61E+01,-1.79E-01
Wafer 194,3.2,600,9.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.355158,2.49E+17,2.65E+16,5,8.47E-01,8.41E-01,1.08E-04,2.88E-14,1.06E+02,1.06E+02,4.25E-05,2.04E-06,6.45E-03,3.77E+09,4.36E-08,2.08E+01,-2.99E-01
Wafer 186,3.2,600,7.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.35587,1.95E+17,2.65E+16,5,8.47E-01,8.41E-01,1.08E-04,3.04E-14,1.06E+02,1.06E+02,4.26E-05,2.04E-06,6.48E-03,3.56E+09,4.36E-08,2.09E+01,-3.01E-01
Wafer 178,3.2,600,5.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.356588,1.45E+17,2.64E+16,5,8.47E-01,8.41E-01,1.09E-04,2.98E-14,1.06E+02,1.06E+02,4.26E-05,2.03E-06,6.51E-03,3.64E+09,4.36E-08,2.10E+01,-3.04E-01
Wafer 170,3.2,600,3.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.357312,1.45E+17,2.64E+16,5,8.47E-01,8.40E-01,1.09E-04,2.93E-14,1.06E+02,1.06E+02,4.26E-05,2.03E-06,6.54E-03,3.71E+09,4.36E-08,2.10E+01,-3.07E-01
Wafer 162,3.2,600,1.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.358043,1.45E+17,2.64E+16,5,8.47E-01,8.40E-01,1.09E-04,3.36E-14,1.06E+02,1.06E+02,4.27E-05,2.03E-06,6.59E-03,3.23E+09,4.36E-08,2.11E+01,-3.12E-01
Wafer 154,3.2,450,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.347771,2.75E+17,2.65E+16,5,8.48E-01,8.41E-01,1.08E-04,2.20E-14,1.06E+02,1.06E+02,4.24E-05,2.02E-06,6.34E-03,4.90E+09,4.36E-08,2.10E+01,-2.89E-01
Wafer 146,3.2,450,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.349988,2.15E+17,2.65E+16,5,8.47E-01,8.41E-01,1.08E-04,2.16E-14,1.06E+02,1.06E+02,4.24E-05,2.03E-06,6.40E-03,5.00E+09,4.36E-08,2.09E+01,-2.94E-01
Wafer 138,3.2,450,5.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.352287,1.54E+17,2.65E+16,5,8.47E-01,8.41E-01,1.08E-04,2.74E-14,1.06E+02,1.06E+02,4.25E-05,2.05E-06,6.45E-03,3.95E+09,4.36E-08,2.07E+01,-2.99E-01
Wafer 130,3.2,450,3.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.35467,1.45E+17,2.65E+16,5,8.47E-01,8.40E-01,1.08E-04,2.71E-14,1.06E+02,1.06E+02,4.25E-05,2.03E-06,6.51E-03,3.99E+09,4.36E-08,2.09E+01,-3.05E-01
Wafer 122,3.2,450,1.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.357305,1.43E+17,2.65E+16,5,8.47E-01,8.40E-01,1.09E-04,3.00E-14,1.06E+02,1.06E+02,4.26E-05,2.00E-06,6.71E-03,3.62E+09,4.37E-08,2.13E+01,-3.18E-01
Wafer 114,3.2,300,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.32256,2.91E+17,2.66E+16,5,8.49E-01,8.43E-01,1.07E-04,2.47E-14,1.06E+02,1.06E+02,4.18E-05,1.38E-06,5.85E-03,4.33E+09,4.37E-08,3.02E+01,-2.39E-01
Wafer 106,3.2,300,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.322701,2.27E+17,2.66E+16,5,8.49E-01,8.43E-01,1.07E-04,2.29E-14,1.06E+02,1.06E+02,4.18E-05,1.40E-06,6.01E-03,4.69E+09,4.37E-08,2.98E+01,-2.55E-01
Wafer 98,3.2,300,5.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.325636,1.63E+17,2.71E+16,5,8.48E-01,8.42E-01,1.07E-04,2.04E-14,1.06E+02,1.06E+02,4.20E-05,1.50E-06,6.30E-03,5.25E+09,4.36E-08,2.80E+01,-2.80E-01
Wafer 90,3.2,300,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.336026,1.44E+17,2.65E+16,5,8.48E-01,8.41E-01,1.08E-04,2.44E-14,1.06E+02,1.06E+02,4.22E-05,1.72E-06,6.52E-03,4.41E+09,4.37E-08,2.46E+01,-3.00E-01
Wafer 82,3.2,300,1.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.349684,1.43E+17,2.65E+16,5,8.47E-01,8.40E-01,1.08E-04,2.85E-14,1.06E+02,1.06E+02,4.25E-05,2.01E-06,6.69E-03,3.79E+09,4.37E-08,2.12E+01,-3.17E-01
Wafer 74,3.2,250,9.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.321679,3.15E+17,2.67E+16,5,8.51E-01,8.46E-01,1.07E-04,2.57E-14,1.06E+02,1.06E+02,4.17E-05,1.34E-06,5.54E-03,4.16E+09,4.38E-08,3.11E+01,-2.01E-01
Wafer 66,3.2,250,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322017,2.46E+17,2.67E+16,5,8.50E-01,8.44E-01,1.07E-04,2.28E-14,1.06E+02,1.06E+02,4.18E-05,1.35E-06,5.80E-03,4.69E+09,4.38E-08,3.09E+01,-2.28E-01
Wafer 58,3.2,250,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322356,1.77E+17,2.66E+16,5,8.49E-01,8.43E-01,1.07E-04,2.00E-14,1.06E+02,1.06E+02,4.19E-05,1.39E-06,6.07E-03,5.36E+09,4.37E-08,3.02E+01,-2.55E-01
Wafer 50,3.2,250,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322694,1.44E+17,2.66E+16,5,8.48E-01,8.42E-01,1.08E-04,1.78E-14,1.06E+02,1.06E+02,4.20E-05,1.45E-06,6.34E-03,6.03E+09,4.37E-08,2.90E+01,-2.83E-01
Wafer 42,3.2,250,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.339867,1.44E+17,2.65E+16,5,8.47E-01,8.40E-01,1.08E-04,4.32E-14,1.06E+02,1.06E+02,4.24E-05,2.01E-06,6.66E-03,2.50E+09,4.37E-08,2.11E+01,-3.13E-01
Wafer 34,3.2,150,9.00E+12,3.76E+17,3.90E+16,30,0.019967,130,0.31508,3.17E+17,2.77E+16,5,8.68E-01,8.66E-01,1.03E-04,2.67E-14,1.06E+02,1.06E+02,4.07E-05,1.31E-06,1.81E-03,3.87E+09,4.43E-08,3.11E+01,2.02E-01
Wafer 26,3.2,150,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.316817,2.48E+17,2.75E+16,5,8.64E-01,8.61E-01,1.04E-04,3.20E-14,1.06E+02,1.06E+02,4.10E-05,1.32E-06,2.63E-03,3.26E+09,4.41E-08,3.11E+01,1.09E-01
Wafer 18,3.2,150,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.318591,1.79E+17,2.72E+16,5,8.59E-01,8.56E-01,1.05E-04,2.86E-14,1.06E+02,1.06E+02,4.12E-05,1.32E-06,3.60E-03,3.68E+09,4.40E-08,3.12E+01,3.03E-03
Wafer 10,3.2,150,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.320405,1.49E+17,2.69E+16,5,8.54E-01,8.50E-01,1.06E-04,4.25E-14,1.06E+02,1.06E+02,4.15E-05,1.33E-06,4.73E-03,2.50E+09,4.39E-08,3.13E+01,-1.16E-01
Wafer 2,3.2,150,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.322261,1.45E+17,2.66E+16,5,8.49E-01,8.43E-01,1.07E-04,7.82E-14,1.06E+02,1.06E+02,4.18E-05,1.38E-06,6.07E-03,1.37E+09,4.37E-08,3.02E+01,-2.51E-01
Wafer 195,3.2,600,9.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.355158,2.49E+17,2.65E+16,2,8.14E-01,7.94E-01,2.52E-04,3.64E-14,1.08E+02,1.08E+02,7.97E-05,8.26E-06,2.02E-02,6.92E+09,1.11E-07,9.65E+00,-3.20E-01
Wafer 187,3.2,600,7.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.35587,1.95E+17,2.65E+16,2,8.14E-01,7.94E-01,2.52E-04,3.81E-14,1.08E+02,1.08E+02,7.97E-05,8.82E-06,2.02E-02,6.62E+09,1.11E-07,9.04E+00,-3.24E-01
Wafer 179,3.2,600,5.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.356588,1.45E+17,2.64E+16,2,8.14E-01,7.94E-01,2.53E-04,3.75E-14,1.08E+02,1.08E+02,7.97E-05,9.52E-06,2.02E-02,6.74E+09,1.11E-07,8.38E+00,-3.27E-01
Wafer 171,3.2,600,3.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.357312,1.45E+17,2.64E+16,2,8.14E-01,7.94E-01,2.53E-04,3.70E-14,1.08E+02,1.08E+02,7.96E-05,1.05E-05,2.01E-02,6.84E+09,1.11E-07,7.61E+00,-3.31E-01
Wafer 163,3.2,600,1.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.358043,1.45E+17,2.64E+16,2,8.14E-01,7.94E-01,2.54E-04,4.14E-14,1.08E+02,1.08E+02,7.94E-05,1.19E-05,2.01E-02,6.13E+09,1.11E-07,6.69E+00,-3.39E-01
Wafer 155,3.2,450,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.347771,2.75E+17,2.65E+16,2,8.15E-01,7.94E-01,2.51E-04,2.96E-14,1.08E+02,1.08E+02,8.00E-05,6.41E-06,2.02E-02,8.47E+09,1.11E-07,1.25E+01,-3.05E-01
Wafer 147,3.2,450,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.349988,2.15E+17,2.65E+16,2,8.14E-01,7.94E-01,2.51E-04,2.92E-14,1.08E+02,1.08E+02,7.99E-05,6.61E-06,2.02E-02,8.60E+09,1.11E-07,1.21E+01,-3.13E-01
Wafer 139,3.2,450,5.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.352287,1.54E+17,2.65E+16,2,8.14E-01,7.94E-01,2.52E-04,3.50E-14,1.08E+02,1.08E+02,7.98E-05,6.95E-06,2.02E-02,7.18E+09,1.11E-07,1.15E+01,-3.21E-01
Wafer 131,3.2,450,3.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.35467,1.45E+17,2.65E+16,2,8.14E-01,7.94E-01,2.52E-04,3.48E-14,1.08E+02,1.08E+02,7.97E-05,7.58E-06,2.01E-02,7.24E+09,1.11E-07,1.05E+01,-3.29E-01
Wafer 123,3.2,450,1.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.357305,1.43E+17,2.65E+16,2,8.15E-01,7.94E-01,2.54E-04,3.77E-14,1.08E+02,1.08E+02,7.84E-05,1.39E-05,2.06E-02,6.74E+09,1.11E-07,5.65E+00,-3.53E-01
Wafer 115,3.2,300,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.32256,2.91E+17,2.66E+16,2,8.16E-01,7.96E-01,2.50E-04,3.22E-14,1.08E+02,1.08E+02,8.07E-05,5.28E-06,2.05E-02,7.76E+09,1.11E-07,1.53E+01,-2.36E-01
Wafer 107,3.2,300,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.322701,2.27E+17,2.66E+16,2,8.16E-01,7.95E-01,2.50E-04,3.04E-14,1.08E+02,1.08E+02,8.06E-05,5.40E-06,2.04E-02,8.23E+09,1.11E-07,1.49E+01,-2.59E-01
Wafer 99,3.2,300,5.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.325636,1.63E+17,2.71E+16,2,8.16E-01,7.95E-01,2.50E-04,2.80E-14,1.08E+02,1.08E+02,8.06E-05,5.50E-06,2.06E-02,8.94E+09,1.10E-07,1.47E+01,-3.02E-01
Wafer 91,3.2,300,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.336026,1.44E+17,2.65E+16,2,8.15E-01,7.95E-01,2.52E-04,3.21E-14,1.08E+02,1.08E+02,7.91E-05,7.23E-06,2.07E-02,7.85E+09,1.11E-07,1.09E+01,-3.28E-01
