Module,pre_proc,vt_impl11,vt_impl111,vt_impl111,vt_impl111,gox_time,gox_time,post_proc,post_proc,post_proc,post_proc,nmos,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd
Wafer 83,3.2,300,1.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.349684,1.43E+17,2.65E+16,2,8.15E-01,7.94E-01,2.52E-04,3.62E-14,1.08E+02,1.08E+02,7.85E-05,8.85E-06,2.06E-02,6.97E+09,1.11E-07,8.86E+00,-3.52E-01
Wafer 75,3.2,250,9.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.321679,3.15E+17,2.67E+16,2,8.19E-01,7.98E-01,2.50E-04,3.30E-14,1.08E+02,1.08E+02,8.06E-05,5.22E-06,2.13E-02,7.55E+09,1.12E-07,1.54E+01,-1.90E-01
Wafer 67,3.2,250,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322017,2.46E+17,2.67E+16,2,8.18E-01,7.97E-01,2.50E-04,3.03E-14,1.08E+02,1.08E+02,8.04E-05,5.43E-06,2.11E-02,8.26E+09,1.12E-07,1.48E+01,-2.27E-01
Wafer 59,3.2,250,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322356,1.77E+17,2.66E+16,2,8.17E-01,7.96E-01,2.51E-04,2.75E-14,1.08E+02,1.08E+02,8.02E-05,5.77E-06,2.10E-02,9.11E+09,1.12E-07,1.39E+01,-2.65E-01
Wafer 51,3.2,250,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322694,1.44E+17,2.66E+16,2,8.16E-01,7.95E-01,2.51E-04,2.54E-14,1.08E+02,1.08E+02,7.96E-05,6.40E-06,2.08E-02,9.88E+09,1.11E-07,1.24E+01,-3.04E-01
Wafer 43,3.2,250,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.339867,1.44E+17,2.65E+16,2,8.15E-01,7.94E-01,2.52E-04,5.08E-14,1.08E+02,1.08E+02,7.87E-05,8.00E-06,2.06E-02,4.96E+09,1.11E-07,9.84E+00,-3.47E-01
Wafer 35,3.2,150,9.00E+12,3.76E+17,3.90E+16,30,0.019967,130,0.31508,3.17E+17,2.77E+16,2,8.37E-01,8.21E-01,2.43E-04,3.29E-14,1.08E+02,1.08E+02,7.95E-05,3.88E-06,1.56E-02,7.39E+09,1.15E-07,2.05E+01,3.79E-01
Wafer 27,3.2,150,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.316817,2.48E+17,2.75E+16,2,8.32E-01,8.15E-01,2.45E-04,3.85E-14,1.08E+02,1.08E+02,7.97E-05,3.97E-06,1.74E-02,6.35E+09,1.14E-07,2.01E+01,2.47E-01
Wafer 19,3.2,150,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.318591,1.79E+17,2.72E+16,2,8.27E-01,8.08E-01,2.46E-04,3.54E-14,1.08E+02,1.08E+02,8.01E-05,4.16E-06,1.94E-02,6.95E+09,1.14E-07,1.92E+01,9.75E-02
Wafer 11,3.2,150,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.320405,1.49E+17,2.69E+16,2,8.22E-01,8.01E-01,2.48E-04,4.97E-14,1.08E+02,1.08E+02,8.05E-05,4.57E-06,2.16E-02,4.99E+09,1.13E-07,1.76E+01,-7.08E-02
Wafer 3,3.2,150,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.322261,1.45E+17,2.66E+16,2,8.17E-01,7.96E-01,2.51E-04,8.59E-14,1.08E+02,1.08E+02,7.98E-05,6.06E-06,2.10E-02,2.92E+09,1.12E-07,1.32E+01,-2.63E-01
Wafer 196,3.2,600,9.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.355158,2.49E+17,2.65E+16,1.6,7.97E-01,7.73E-01,3.14E-04,4.67E-14,1.09E+02,1.09E+02,8.86E-05,3.47E-05,2.39E-02,6.72E+09,1.48E-07,2.55E+00,-1.02E-01
Wafer 188,3.2,600,7.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.35587,1.95E+17,2.65E+16,1.6,7.97E-01,7.73E-01,3.14E-04,4.84E-14,1.09E+02,1.09E+02,8.87E-05,3.51E-05,2.38E-02,6.50E+09,1.48E-07,2.53E+00,-1.02E-01
Wafer 180,3.2,600,5.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.356588,1.45E+17,2.64E+16,1.6,7.97E-01,7.73E-01,3.15E-04,4.78E-14,1.09E+02,1.09E+02,8.88E-05,3.56E-05,2.38E-02,6.59E+09,1.48E-07,2.49E+00,-1.02E-01
Wafer 172,3.2,600,3.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.357312,1.45E+17,2.64E+16,1.6,7.97E-01,7.73E-01,3.15E-04,4.73E-14,1.09E+02,1.09E+02,8.89E-05,3.65E-05,2.38E-02,6.66E+09,1.48E-07,2.43E+00,-1.03E-01
Wafer 164,3.2,600,1.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.358043,1.45E+17,2.64E+16,1.6,7.97E-01,7.73E-01,3.16E-04,5.18E-14,1.09E+02,1.09E+02,8.92E-05,3.89E-05,2.38E-02,6.10E+09,1.48E-07,2.29E+00,-1.03E-01
Wafer 156,3.2,450,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.347771,2.75E+17,2.65E+16,1.6,7.98E-01,7.74E-01,3.12E-04,3.99E-14,1.09E+02,1.09E+02,8.79E-05,3.27E-05,2.39E-02,7.84E+09,1.48E-07,2.69E+00,-1.06E-01
Wafer 148,3.2,450,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.349988,2.15E+17,2.65E+16,1.6,7.97E-01,7.74E-01,3.13E-04,3.95E-14,1.09E+02,1.09E+02,8.80E-05,3.30E-05,2.38E-02,7.92E+09,1.48E-07,2.67E+00,-1.06E-01
Wafer 140,3.2,450,5.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.352287,1.54E+17,2.65E+16,1.6,7.97E-01,7.73E-01,3.13E-04,4.53E-14,1.09E+02,1.09E+02,8.82E-05,3.35E-05,2.38E-02,6.91E+09,1.48E-07,2.64E+00,-1.03E-01
Wafer 132,3.2,450,3.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.35467,1.45E+17,2.65E+16,1.6,7.97E-01,7.73E-01,3.14E-04,4.51E-14,1.09E+02,1.09E+02,8.84E-05,3.41E-05,2.38E-02,6.96E+09,1.48E-07,2.59E+00,-1.03E-01
Wafer 124,3.2,450,1.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.357305,1.43E+17,2.65E+16,1.6,7.98E-01,7.73E-01,3.18E-04,4.80E-14,1.10E+02,1.09E+02,9.02E-05,3.79E-05,2.45E-02,6.62E+09,1.48E-07,2.38E+00,-1.37E-01
Wafer 116,3.2,300,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.32256,2.91E+17,2.66E+16,1.6,7.99E-01,7.75E-01,3.09E-04,4.22E-14,1.10E+02,1.09E+02,8.65E-05,2.92E-05,2.40E-02,7.31E+09,1.48E-07,2.96E+00,-1.03E-01
Wafer 108,3.2,300,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.322701,2.27E+17,2.66E+16,1.6,7.99E-01,7.75E-01,3.10E-04,4.05E-14,1.10E+02,1.09E+02,8.68E-05,2.98E-05,2.40E-02,7.65E+09,1.48E-07,2.91E+00,-1.04E-01
Wafer 100,3.2,300,5.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.325636,1.63E+17,2.71E+16,1.6,7.99E-01,7.74E-01,3.09E-04,3.81E-14,1.10E+02,1.10E+02,8.71E-05,3.10E-05,2.44E-02,8.13E+09,1.47E-07,2.81E+00,-1.42E-01
Wafer 92,3.2,300,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.336026,1.44E+17,2.65E+16,1.6,7.98E-01,7.74E-01,3.14E-04,4.23E-14,1.10E+02,1.09E+02,8.88E-05,3.34E-05,2.45E-02,7.43E+09,1.48E-07,2.66E+00,-1.38E-01
Wafer 84,3.2,300,1.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.349684,1.43E+17,2.65E+16,1.6,7.98E-01,7.73E-01,3.16E-04,4.65E-14,1.10E+02,1.09E+02,8.95E-05,3.48E-05,2.44E-02,6.79E+09,1.48E-07,2.57E+00,-1.37E-01
Wafer 76,3.2,250,9.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.321679,3.15E+17,2.67E+16,1.6,8.01E-01,7.77E-01,3.09E-04,4.29E-14,1.10E+02,1.10E+02,8.66E-05,2.91E-05,2.49E-02,7.20E+09,1.48E-07,2.97E+00,-1.37E-01
Wafer 68,3.2,250,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322017,2.46E+17,2.67E+16,1.6,8.01E-01,7.76E-01,3.10E-04,4.02E-14,1.10E+02,1.10E+02,8.70E-05,3.01E-05,2.47E-02,7.71E+09,1.48E-07,2.89E+00,-1.37E-01
Wafer 60,3.2,250,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322356,1.77E+17,2.66E+16,1.6,8.00E-01,7.75E-01,3.11E-04,3.76E-14,1.10E+02,1.10E+02,8.75E-05,3.13E-05,2.46E-02,8.28E+09,1.48E-07,2.80E+00,-1.38E-01
Wafer 52,3.2,250,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322694,1.44E+17,2.66E+16,1.6,7.99E-01,7.74E-01,3.13E-04,3.56E-14,1.10E+02,1.09E+02,8.82E-05,3.25E-05,2.45E-02,8.79E+09,1.48E-07,2.72E+00,-1.39E-01
Wafer 44,3.2,250,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.339867,1.44E+17,2.65E+16,1.6,7.98E-01,7.74E-01,3.15E-04,6.11E-14,1.10E+02,1.09E+02,8.92E-05,3.43E-05,2.44E-02,5.16E+09,1.48E-07,2.60E+00,-1.31E-01
Wafer 36,3.2,150,9.00E+12,3.76E+17,3.90E+16,30,0.019967,130,0.31508,3.17E+17,2.77E+16,1.6,8.16E-01,7.90E-01,2.95E-04,4.11E-14,1.09E+02,1.10E+02,8.89E-05,5.47E-06,2.67E-02,7.17E+09,1.47E-07,1.62E+01,6.59E-01
Wafer 28,3.2,150,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.316817,2.48E+17,2.75E+16,1.6,8.12E-01,7.86E-01,2.97E-04,4.71E-14,1.10E+02,1.10E+02,8.74E-05,7.04E-06,2.62E-02,6.30E+09,1.48E-07,1.24E+01,5.25E-01
Wafer 20,3.2,150,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.318591,1.79E+17,2.72E+16,1.6,8.08E-01,7.83E-01,3.00E-04,4.45E-14,1.10E+02,1.10E+02,8.50E-05,1.29E-05,2.57E-02,6.74E+09,1.48E-07,6.60E+00,3.73E-01
Wafer 12,3.2,150,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.320405,1.49E+17,2.69E+16,1.6,8.04E-01,7.79E-01,3.04E-04,5.92E-14,1.10E+02,1.10E+02,8.47E-05,2.30E-05,2.52E-02,5.14E+09,1.48E-07,3.69E+00,-6.05E-02
Wafer 4,3.2,150,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.322261,1.45E+17,2.66E+16,1.6,8.00E-01,7.75E-01,3.12E-04,9.60E-14,1.10E+02,1.10E+02,8.79E-05,3.20E-05,2.47E-02,3.25E+09,1.48E-07,2.75E+00,-1.15E-01
Wafer 197,3.2,600,9.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.355158,2.49E+17,2.65E+16,1.2,7.64E-01,7.31E-01,4.30E-04,9.22E-14,1.07E+02,1.05E+02,1.18E-04,5.63E-05,3.28E-02,4.67E+09,2.19E-07,2.10E+00,-1.48E+00
Wafer 189,3.2,600,7.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.35587,1.95E+17,2.65E+16,1.2,7.64E-01,7.31E-01,4.31E-04,9.39E-14,1.07E+02,1.05E+02,1.18E-04,5.63E-05,3.28E-02,4.59E+09,2.19E-07,2.10E+00,-1.48E+00
Wafer 181,3.2,600,5.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.356588,1.45E+17,2.64E+16,1.2,7.64E-01,7.31E-01,4.32E-04,9.35E-14,1.07E+02,1.05E+02,1.18E-04,5.61E-05,3.28E-02,4.62E+09,2.19E-07,2.11E+00,-1.49E+00
Wafer 173,3.2,600,3.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.357312,1.45E+17,2.64E+16,1.2,7.63E-01,7.31E-01,4.32E-04,9.32E-14,1.07E+02,1.05E+02,1.19E-04,5.60E-05,3.29E-02,4.64E+09,2.19E-07,2.12E+00,-1.49E+00
Wafer 165,3.2,600,1.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.358043,1.45E+17,2.64E+16,1.2,7.63E-01,7.30E-01,4.34E-04,1.01E-13,1.07E+02,1.05E+02,1.19E-04,5.56E-05,3.29E-02,4.29E+09,2.19E-07,2.14E+00,-1.51E+00
Wafer 157,3.2,450,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.347771,2.75E+17,2.65E+16,1.2,7.64E-01,7.32E-01,4.26E-04,8.55E-14,1.07E+02,1.05E+02,1.17E-04,5.21E-05,3.26E-02,4.98E+09,2.19E-07,2.24E+00,-1.45E+00
Wafer 149,3.2,450,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.349988,2.15E+17,2.65E+16,1.2,7.64E-01,7.31E-01,4.27E-04,8.50E-14,1.07E+02,1.05E+02,1.17E-04,5.33E-05,3.26E-02,5.02E+09,2.19E-07,2.19E+00,-1.46E+00
Wafer 141,3.2,450,5.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.352287,1.54E+17,2.65E+16,1.2,7.64E-01,7.31E-01,4.28E-04,9.07E-14,1.07E+02,1.05E+02,1.17E-04,5.48E-05,3.26E-02,4.72E+09,2.19E-07,2.14E+00,-1.46E+00
Wafer 133,3.2,450,3.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.35467,1.45E+17,2.65E+16,1.2,7.64E-01,7.31E-01,4.29E-04,9.07E-14,1.07E+02,1.05E+02,1.18E-04,5.59E-05,3.27E-02,4.73E+09,2.19E-07,2.11E+00,-1.47E+00
Wafer 125,3.2,450,1.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.357305,1.43E+17,2.65E+16,1.2,7.65E-01,7.31E-01,4.36E-04,9.39E-14,1.07E+02,1.05E+02,1.20E-04,5.37E-05,3.39E-02,4.65E+09,2.20E-07,2.23E+00,-1.55E+00
Wafer 117,3.2,300,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.32256,2.91E+17,2.66E+16,1.2,7.66E-01,7.33E-01,4.19E-04,8.63E-14,1.07E+02,1.06E+02,1.15E-04,4.85E-05,3.24E-02,4.86E+09,2.20E-07,2.37E+00,-1.41E+00
Wafer 109,3.2,300,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.322701,2.27E+17,2.66E+16,1.2,7.65E-01,7.33E-01,4.20E-04,8.48E-14,1.07E+02,1.05E+02,1.15E-04,4.86E-05,3.24E-02,4.96E+09,2.20E-07,2.37E+00,-1.41E+00
Wafer 101,3.2,300,5.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.325636,1.63E+17,2.71E+16,1.2,7.66E-01,7.33E-01,4.21E-04,8.24E-14,1.07E+02,1.06E+02,1.16E-04,5.11E-05,3.31E-02,5.11E+09,2.17E-07,2.26E+00,-1.47E+00
Wafer 93,3.2,300,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.336026,1.44E+17,2.65E+16,1.2,7.66E-01,7.32E-01,4.27E-04,8.76E-14,1.07E+02,1.06E+02,1.17E-04,4.92E-05,3.35E-02,4.88E+09,2.20E-07,2.38E+00,-1.49E+00
Wafer 85,3.2,300,1.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.349684,1.43E+17,2.65E+16,1.2,7.65E-01,7.31E-01,4.31E-04,9.25E-14,1.07E+02,1.06E+02,1.18E-04,5.31E-05,3.36E-02,4.66E+09,2.20E-07,2.23E+00,-1.51E+00
Wafer 77,3.2,250,9.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.321679,3.15E+17,2.67E+16,1.2,7.69E-01,7.36E-01,4.19E-04,8.61E-14,1.08E+02,1.06E+02,1.15E-04,4.76E-05,3.33E-02,4.87E+09,2.21E-07,2.41E+00,-1.43E+00
Wafer 69,3.2,250,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322017,2.46E+17,2.67E+16,1.2,7.68E-01,7.35E-01,4.21E-04,8.39E-14,1.07E+02,1.06E+02,1.15E-04,4.77E-05,3.33E-02,5.01E+09,2.20E-07,2.42E+00,-1.44E+00
Wafer 61,3.2,250,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322356,1.77E+17,2.66E+16,1.2,7.67E-01,7.34E-01,4.23E-04,8.18E-14,1.07E+02,1.06E+02,1.16E-04,4.81E-05,3.33E-02,5.16E+09,2.20E-07,2.41E+00,-1.46E+00
Wafer 53,3.2,250,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322694,1.44E+17,2.66E+16,1.2,7.66E-01,7.33E-01,4.25E-04,8.04E-14,1.07E+02,1.06E+02,1.17E-04,4.83E-05,3.34E-02,5.29E+09,2.20E-07,2.41E+00,-1.48E+00
Wafer 45,3.2,250,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.339867,1.44E+17,2.65E+16,1.2,7.65E-01,7.32E-01,4.29E-04,1.07E-13,1.07E+02,1.06E+02,1.18E-04,5.12E-05,3.36E-02,4.02E+09,2.20E-07,2.30E+00,-1.50E+00
Wafer 37,3.2,150,9.00E+12,3.76E+17,3.90E+16,30,0.019967,130,0.31508,3.17E+17,2.77E+16,1.2,7.84E-01,7.51E-01,3.91E-04,7.65E-14,1.09E+02,1.08E+02,1.05E-04,4.50E-05,3.35E-02,5.10E+09,2.25E-07,2.34E+00,-1.21E+00
Wafer 29,3.2,150,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.316817,2.48E+17,2.75E+16,1.2,7.80E-01,7.47E-01,3.97E-04,8.44E-14,1.09E+02,1.08E+02,1.08E-04,4.69E-05,3.33E-02,4.70E+09,2.24E-07,2.29E+00,-1.25E+00
Wafer 21,3.2,150,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.318591,1.79E+17,2.72E+16,1.2,7.76E-01,7.43E-01,4.04E-04,8.39E-14,1.08E+02,1.07E+02,1.10E-04,4.78E-05,3.32E-02,4.82E+09,2.23E-07,2.30E+00,-1.30E+00
Wafer 13,3.2,150,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.320405,1.49E+17,2.69E+16,1.2,7.72E-01,7.39E-01,4.13E-04,1.01E-13,1.08E+02,1.06E+02,1.13E-04,4.78E-05,3.32E-02,4.09E+09,2.22E-07,2.35E+00,-1.37E+00
Wafer 5,3.2,150,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.322261,1.45E+17,2.66E+16,1.2,7.67E-01,7.34E-01,4.24E-04,1.40E-13,1.07E+02,1.06E+02,1.16E-04,4.82E-05,3.34E-02,3.03E+09,2.20E-07,2.41E+00,-1.45E+00
Wafer 198,3.2,600,9.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.355158,2.49E+17,2.65E+16,1,7.25E-01,6.68E-01,5.17E-04,2.47E-13,1.05E+02,1.01E+02,1.35E-04,4.57E-05,5.75E-02,2.09E+09,2.63E-07,2.95E+00,-3.31E+00
Wafer 190,3.2,600,7.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.35587,1.95E+17,2.65E+16,1,7.25E-01,6.67E-01,5.17E-04,2.50E-13,1.05E+02,1.01E+02,1.35E-04,4.55E-05,5.78E-02,2.07E+09,2.63E-07,2.97E+00,-3.34E+00
Wafer 182,3.2,600,5.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.356588,1.45E+17,2.64E+16,1,7.25E-01,6.67E-01,5.18E-04,2.53E-13,1.05E+02,1.01E+02,1.35E-04,4.52E-05,5.82E-02,2.05E+09,2.63E-07,2.99E+00,-3.36E+00
Wafer 174,3.2,600,3.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.357312,1.45E+17,2.64E+16,1,7.25E-01,6.66E-01,5.18E-04,2.72E-13,1.05E+02,1.01E+02,1.35E-04,4.49E-05,5.86E-02,1.90E+09,2.63E-07,3.01E+00,-3.39E+00
Wafer 166,3.2,600,1.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.358043,1.45E+17,2.64E+16,1,7.25E-01,6.65E-01,5.19E-04,1.57E-12,1.05E+02,1.01E+02,1.35E-04,4.44E-05,5.93E-02,3.30E+08,2.63E-07,3.05E+00,-3.41E+00
Wafer 158,3.2,450,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.347771,2.75E+17,2.65E+16,1,7.26E-01,6.70E-01,5.14E-04,2.36E-13,1.05E+02,1.02E+02,1.34E-04,4.75E-05,5.56E-02,2.17E+09,2.63E-07,2.83E+00,-3.09E+00
Wafer 150,3.2,450,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.349988,2.15E+17,2.65E+16,1,7.25E-01,6.69E-01,5.14E-04,2.37E-13,1.05E+02,1.02E+02,1.34E-04,4.71E-05,5.60E-02,2.17E+09,2.63E-07,2.85E+00,-3.13E+00
