Module,pre_proc,vt_impl11,vt_impl111,vt_impl111,vt_impl111,gox_time,gox_time,post_proc,post_proc,post_proc,post_proc,nmos,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd
Wafer 142,3.2,450,5.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.352287,1.54E+17,2.65E+16,1,7.25E-01,6.69E-01,5.15E-04,2.43E-13,1.05E+02,1.01E+02,1.34E-04,4.67E-05,5.65E-02,2.12E+09,2.63E-07,2.88E+00,-3.19E+00
Wafer 134,3.2,450,3.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.35467,1.45E+17,2.65E+16,1,7.25E-01,6.68E-01,5.16E-04,2.45E-13,1.05E+02,1.01E+02,1.35E-04,4.60E-05,5.71E-02,2.11E+09,2.63E-07,2.93E+00,-3.26E+00
Wafer 126,3.2,450,1.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.357305,1.43E+17,2.65E+16,1,7.27E-01,6.67E-01,5.21E-04,2.56E-13,1.05E+02,1.02E+02,1.36E-04,4.19E-05,6.03E-02,2.04E+09,2.65E-07,3.24E+00,-3.54E+00
Wafer 118,3.2,300,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.32256,2.91E+17,2.66E+16,1,7.27E-01,6.74E-01,5.05E-04,2.30E-13,1.05E+02,1.02E+02,1.32E-04,4.80E-05,5.28E-02,2.19E+09,2.65E-07,2.75E+00,-2.78E+00
Wafer 110,3.2,300,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.322701,2.27E+17,2.66E+16,1,7.27E-01,6.74E-01,5.07E-04,2.31E-13,1.05E+02,1.02E+02,1.32E-04,4.82E-05,5.32E-02,2.20E+09,2.64E-07,2.75E+00,-2.81E+00
Wafer 102,3.2,300,5.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.325636,1.63E+17,2.71E+16,1,7.28E-01,6.73E-01,5.09E-04,2.28E-13,1.05E+02,1.02E+02,1.33E-04,4.93E-05,5.45E-02,2.23E+09,2.60E-07,2.70E+00,-2.98E+00
Wafer 94,3.2,300,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.336026,1.44E+17,2.65E+16,1,7.28E-01,6.72E-01,5.15E-04,2.39E-13,1.05E+02,1.02E+02,1.35E-04,4.56E-05,5.62E-02,2.15E+09,2.65E-07,2.95E+00,-3.12E+00
Wafer 86,3.2,300,1.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.349684,1.43E+17,2.65E+16,1,7.27E-01,6.69E-01,5.18E-04,2.47E-13,1.05E+02,1.02E+02,1.35E-04,4.38E-05,5.81E-02,2.09E+09,2.65E-07,3.09E+00,-3.35E+00
Wafer 78,3.2,250,9.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.321679,3.15E+17,2.67E+16,1,7.31E-01,6.78E-01,5.05E-04,2.27E-13,1.06E+02,1.03E+02,1.32E-04,4.64E-05,5.31E-02,2.22E+09,2.68E-07,2.85E+00,-2.83E+00
Wafer 70,3.2,250,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322017,2.46E+17,2.67E+16,1,7.31E-01,6.77E-01,5.06E-04,2.27E-13,1.06E+02,1.03E+02,1.32E-04,4.60E-05,5.35E-02,2.23E+09,2.67E-07,2.88E+00,-2.86E+00
Wafer 62,3.2,250,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322356,1.77E+17,2.66E+16,1,7.30E-01,6.76E-01,5.08E-04,2.27E-13,1.05E+02,1.02E+02,1.33E-04,4.62E-05,5.41E-02,2.23E+09,2.67E-07,2.88E+00,-2.90E+00
Wafer 54,3.2,250,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322694,1.44E+17,2.66E+16,1,7.29E-01,6.74E-01,5.11E-04,2.29E-13,1.05E+02,1.02E+02,1.34E-04,4.66E-05,5.49E-02,2.23E+09,2.66E-07,2.87E+00,-2.97E+00
Wafer 46,3.2,250,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.339867,1.44E+17,2.65E+16,1,7.28E-01,6.70E-01,5.17E-04,2.61E-13,1.05E+02,1.02E+02,1.35E-04,4.49E-05,5.72E-02,1.98E+09,2.65E-07,3.01E+00,-3.25E+00
Wafer 38,3.2,150,9.00E+12,3.76E+17,3.90E+16,30,0.019967,130,0.31508,3.17E+17,2.77E+16,1,7.48E-01,7.01E-01,4.74E-04,1.85E-13,1.07E+02,1.05E+02,1.25E-04,5.41E-05,4.67E-02,2.56E+09,2.81E-07,2.31E+00,-2.31E+00
Wafer 30,3.2,150,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.316817,2.48E+17,2.75E+16,1,7.44E-01,6.96E-01,4.82E-04,2.01E-13,1.07E+02,1.04E+02,1.27E-04,5.22E-05,4.80E-02,2.40E+09,2.78E-07,2.43E+00,-2.43E+00
Wafer 22,3.2,150,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.318591,1.79E+17,2.72E+16,1,7.39E-01,6.90E-01,4.89E-04,2.08E-13,1.06E+02,1.04E+02,1.28E-04,5.03E-05,4.95E-02,2.35E+09,2.74E-07,2.55E+00,-2.56E+00
Wafer 14,3.2,150,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.320405,1.49E+17,2.69E+16,1,7.35E-01,6.83E-01,4.98E-04,2.35E-13,1.06E+02,1.03E+02,1.30E-04,4.83E-05,5.14E-02,2.12E+09,2.71E-07,2.70E+00,-2.70E+00
Wafer 6,3.2,150,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.322261,1.45E+17,2.66E+16,1,7.30E-01,6.75E-01,5.09E-04,2.85E-13,1.06E+02,1.02E+02,1.33E-04,4.63E-05,5.43E-02,1.78E+09,2.67E-07,2.88E+00,-2.91E+00
Wafer 199,3.2,600,9.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.355158,2.49E+17,2.65E+16,0.9,6.98E-01,5.80E-01,5.75E-04,1.10E-12,1.04E+02,1.01E+02,1.45E-04,4.07E-05,1.18E-01,5.21E+08,3.53E-07,3.57E+00,-2.32E+00
Wafer 191,3.2,600,7.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.35587,1.95E+17,2.65E+16,0.9,6.98E-01,5.79E-01,5.75E-04,1.19E-12,1.04E+02,1.01E+02,1.45E-04,4.06E-05,1.18E-01,4.82E+08,3.53E-07,3.58E+00,-2.29E+00
Wafer 183,3.2,600,5.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.356588,1.45E+17,2.64E+16,0.9,6.98E-01,5.79E-01,5.76E-04,1.56E-12,1.04E+02,1.01E+02,1.46E-04,4.04E-05,1.19E-01,3.69E+08,3.53E-07,3.60E+00,-2.27E+00
Wafer 175,3.2,600,3.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.357312,1.45E+17,2.64E+16,0.9,6.97E-01,5.78E-01,5.76E-04,4.27E-12,1.04E+02,1.01E+02,1.46E-04,4.02E-05,1.19E-01,1.35E+08,3.53E-07,3.62E+00,-2.23E+00
Wafer 167,3.2,600,1.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.358043,1.45E+17,2.64E+16,0.9,6.97E-01,5.78E-01,5.77E-04,1.18E-10,1.04E+02,1.02E+02,1.46E-04,3.99E-05,1.20E-01,4.91E+06,3.53E-07,3.65E+00,-1.78E+00
Wafer 159,3.2,450,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.347771,2.75E+17,2.65E+16,0.9,6.98E-01,5.82E-01,5.72E-04,1.02E-12,1.04E+02,1.01E+02,1.45E-04,4.18E-05,1.16E-01,5.61E+08,3.53E-07,3.46E+00,-2.43E+00
Wafer 151,3.2,450,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.349988,2.15E+17,2.65E+16,0.9,6.98E-01,5.81E-01,5.73E-04,1.03E-12,1.04E+02,1.01E+02,1.45E-04,4.16E-05,1.16E-01,5.57E+08,3.53E-07,3.48E+00,-2.40E+00
Wafer 143,3.2,450,5.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.352287,1.54E+17,2.65E+16,0.9,6.98E-01,5.81E-01,5.74E-04,1.05E-12,1.04E+02,1.01E+02,1.45E-04,4.13E-05,1.17E-01,5.48E+08,3.53E-07,3.51E+00,-2.37E+00
Wafer 135,3.2,450,3.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.35467,1.45E+17,2.65E+16,0.9,6.98E-01,5.80E-01,5.75E-04,1.07E-12,1.04E+02,1.01E+02,1.45E-04,4.09E-05,1.18E-01,5.39E+08,3.53E-07,3.55E+00,-2.32E+00
Wafer 127,3.2,450,1.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.357305,1.43E+17,2.65E+16,0.9,7.00E-01,5.79E-01,5.79E-04,1.56E-12,1.04E+02,1.02E+02,1.46E-04,3.78E-05,1.21E-01,3.71E+08,3.48E-07,3.88E+00,-2.21E+00
Wafer 119,3.2,300,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.32256,2.91E+17,2.66E+16,0.9,6.99E-01,5.88E-01,5.66E-04,9.37E-13,1.04E+02,1.01E+02,1.43E-04,4.44E-05,1.11E-01,6.04E+08,3.52E-07,3.22E+00,-2.60E+00
Wafer 111,3.2,300,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.322701,2.27E+17,2.66E+16,0.9,6.99E-01,5.87E-01,5.67E-04,9.51E-13,1.04E+02,1.01E+02,1.43E-04,4.40E-05,1.12E-01,5.96E+08,3.52E-07,3.26E+00,-2.59E+00
Wafer 103,3.2,300,5.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.325636,1.63E+17,2.71E+16,0.9,7.00E-01,5.86E-01,5.68E-04,9.59E-13,1.04E+02,1.02E+02,1.44E-04,4.26E-05,1.14E-01,5.92E+08,3.43E-07,3.38E+00,-2.61E+00
Wafer 95,3.2,300,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.336026,1.44E+17,2.65E+16,0.9,7.00E-01,5.83E-01,5.74E-04,1.03E-12,1.04E+02,1.02E+02,1.45E-04,3.99E-05,1.17E-01,5.59E+08,3.48E-07,3.64E+00,-2.48E+00
Wafer 87,3.2,300,1.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.349684,1.43E+17,2.65E+16,0.9,7.00E-01,5.81E-01,5.76E-04,1.07E-12,1.04E+02,1.02E+02,1.46E-04,3.89E-05,1.19E-01,5.37E+08,3.48E-07,3.75E+00,-2.34E+00
Wafer 79,3.2,250,9.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.321679,3.15E+17,2.67E+16,0.9,7.02E-01,5.92E-01,5.64E-04,9.12E-13,1.05E+02,1.02E+02,1.43E-04,4.26E-05,1.11E-01,6.19E+08,3.46E-07,3.35E+00,-2.71E+00
Wafer 71,3.2,250,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322017,2.46E+17,2.67E+16,0.9,7.02E-01,5.90E-01,5.66E-04,9.28E-13,1.04E+02,1.02E+02,1.43E-04,4.23E-05,1.12E-01,6.10E+08,3.47E-07,3.38E+00,-2.69E+00
Wafer 63,3.2,250,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322356,1.77E+17,2.66E+16,0.9,7.01E-01,5.88E-01,5.68E-04,9.49E-13,1.04E+02,1.02E+02,1.44E-04,4.23E-05,1.13E-01,5.99E+08,3.47E-07,3.39E+00,-2.66E+00
Wafer 55,3.2,250,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322694,1.44E+17,2.66E+16,0.9,7.00E-01,5.86E-01,5.71E-04,9.82E-13,1.04E+02,1.02E+02,1.44E-04,4.11E-05,1.15E-01,5.81E+08,3.48E-07,3.51E+00,-2.59E+00
Wafer 47,3.2,250,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.339867,1.44E+17,2.65E+16,0.9,7.00E-01,5.82E-01,5.75E-04,1.07E-12,1.04E+02,1.02E+02,1.46E-04,3.95E-05,1.18E-01,5.37E+08,3.48E-07,3.68E+00,-2.40E+00
Wafer 39,3.2,150,9.00E+12,3.76E+17,3.90E+16,30,0.019967,130,0.31508,3.17E+17,2.77E+16,0.9,7.13E-01,6.21E-01,5.35E-04,6.57E-13,1.06E+02,1.03E+02,1.35E-04,5.40E-05,9.19E-02,8.14E+08,3.34E-07,2.51E+00,-2.87E+00
Wafer 31,3.2,150,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.316817,2.48E+17,2.75E+16,0.9,7.10E-01,6.13E-01,5.42E-04,7.16E-13,1.06E+02,1.03E+02,1.37E-04,5.08E-05,9.68E-02,7.57E+08,3.38E-07,2.70E+00,-2.87E+00
Wafer 23,3.2,150,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.318591,1.79E+17,2.72E+16,0.9,7.07E-01,6.05E-01,5.49E-04,7.76E-13,1.05E+02,1.02E+02,1.39E-04,4.79E-05,1.03E-01,7.08E+08,3.41E-07,2.90E+00,-2.83E+00
Wafer 15,3.2,150,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.320405,1.49E+17,2.69E+16,0.9,7.04E-01,5.97E-01,5.57E-04,8.65E-13,1.05E+02,1.02E+02,1.41E-04,4.51E-05,1.07E-01,6.44E+08,3.44E-07,3.13E+00,-2.75E+00
Wafer 7,3.2,150,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.322261,1.45E+17,2.66E+16,0.9,7.01E-01,5.87E-01,5.69E-04,1.02E-12,1.04E+02,1.02E+02,1.44E-04,4.25E-05,1.14E-01,5.60E+08,3.47E-07,3.39E+00,-2.66E+00
Wafer 200,3.2,600,9.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.355158,2.49E+17,2.65E+16,0.8,6.10E-01,4.03E-01,6.83E-04,6.18E-11,1.07E+02,1.02E+02,1.68E-04,5.98E-05,2.07E-01,1.11E+07,4.68E-07,2.81E+00,-4.31E+00
Wafer 192,3.2,600,7.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.35587,1.95E+17,2.65E+16,0.8,6.10E-01,4.02E-01,6.84E-04,9.06E-11,1.07E+02,1.03E+02,1.68E-04,5.99E-05,2.08E-01,7.54E+06,4.68E-07,2.81E+00,-4.20E+00
Wafer 184,3.2,600,5.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.356588,1.45E+17,2.64E+16,0.8,6.09E-01,4.01E-01,6.84E-04,2.32E-10,1.07E+02,1.03E+02,1.68E-04,5.98E-05,2.09E-01,2.95E+06,4.68E-07,2.81E+00,-3.62E+00
Wafer 176,3.2,600,3.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.357312,1.45E+17,2.64E+16,0.8,6.09E-01,4.00E-01,6.85E-04,1.41E-09,1.07E+02,1.08E+02,1.68E-04,5.99E-05,2.10E-01,4.87E+05,4.68E-07,2.81E+00,8.60E-01
Wafer 168,3.2,600,1.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.358043,1.45E+17,2.64E+16,0.8,6.09E-01,3.89E-01,6.86E-04,4.29E-08,1.07E+02,1.55E+02,1.69E-04,6.01E-05,2.20E-01,1.60E+04,4.68E-07,2.80E+00,4.50E+01
Wafer 160,3.2,450,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.347771,2.75E+17,2.65E+16,0.8,6.10E-01,4.09E-01,6.79E-04,4.85E-11,1.07E+02,1.01E+02,1.68E-04,5.96E-05,2.01E-01,1.40E+07,4.68E-07,2.82E+00,-5.36E+00
Wafer 152,3.2,450,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.349988,2.15E+17,2.65E+16,0.8,6.10E-01,4.07E-01,6.80E-04,4.92E-11,1.07E+02,1.01E+02,1.68E-04,5.96E-05,2.02E-01,1.38E+07,4.68E-07,2.82E+00,-5.41E+00
Wafer 144,3.2,450,5.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.352287,1.54E+17,2.65E+16,0.8,6.10E-01,4.06E-01,6.81E-04,5.02E-11,1.07E+02,1.01E+02,1.68E-04,5.97E-05,2.04E-01,1.36E+07,4.68E-07,2.81E+00,-5.45E+00
Wafer 136,3.2,450,3.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.35467,1.45E+17,2.65E+16,0.8,6.09E-01,4.04E-01,6.82E-04,5.23E-11,1.07E+02,1.01E+02,1.68E-04,5.97E-05,2.05E-01,1.30E+07,4.68E-07,2.82E+00,-5.23E+00
Wafer 128,3.2,450,1.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.357305,1.43E+17,2.65E+16,0.8,6.16E-01,4.04E-01,6.88E-04,2.34E-10,1.08E+02,1.04E+02,1.69E-04,5.69E-05,2.12E-01,2.94E+06,4.71E-07,2.97E+00,-3.17E+00
Wafer 120,3.2,300,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.32256,2.91E+17,2.66E+16,0.8,6.11E-01,4.20E-01,6.71E-04,4.16E-11,1.07E+02,1.02E+02,1.67E-04,5.96E-05,1.91E-01,1.61E+07,4.69E-07,2.80E+00,-4.92E+00
Wafer 112,3.2,300,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.322701,2.27E+17,2.66E+16,0.8,6.11E-01,4.18E-01,6.72E-04,4.28E-11,1.07E+02,1.02E+02,1.67E-04,5.94E-05,1.93E-01,1.57E+07,4.69E-07,2.81E+00,-4.99E+00
Wafer 104,3.2,300,5.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.325636,1.63E+17,2.71E+16,0.8,6.16E-01,4.21E-01,6.73E-04,4.27E-11,1.08E+02,1.02E+02,1.67E-04,5.84E-05,1.95E-01,1.58E+07,4.61E-07,2.86E+00,-5.39E+00
Wafer 96,3.2,300,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.336026,1.44E+17,2.65E+16,0.8,6.16E-01,4.15E-01,6.80E-04,4.80E-11,1.08E+02,1.02E+02,1.68E-04,5.66E-05,2.01E-01,1.42E+07,4.72E-07,2.97E+00,-5.19E+00
Wafer 88,3.2,300,1.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.349684,1.43E+17,2.65E+16,0.8,6.16E-01,4.10E-01,6.84E-04,5.14E-11,1.08E+02,1.02E+02,1.68E-04,5.68E-05,2.05E-01,1.33E+07,4.71E-07,2.96E+00,-5.42E+00
Wafer 80,3.2,250,9.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.321679,3.15E+17,2.67E+16,0.8,6.19E-01,4.30E-01,6.69E-04,3.90E-11,1.08E+02,1.03E+02,1.67E-04,5.76E-05,1.89E-01,1.72E+07,4.73E-07,2.89E+00,-4.51E+00
Wafer 72,3.2,250,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322017,2.46E+17,2.67E+16,0.8,6.18E-01,4.27E-01,6.71E-04,4.06E-11,1.08E+02,1.03E+02,1.67E-04,5.74E-05,1.91E-01,1.65E+07,4.73E-07,2.91E+00,-4.64E+00
Wafer 64,3.2,250,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322356,1.77E+17,2.66E+16,0.8,6.17E-01,4.24E-01,6.73E-04,4.25E-11,1.08E+02,1.03E+02,1.67E-04,5.75E-05,1.93E-01,1.58E+07,4.73E-07,2.91E+00,-4.80E+00
Wafer 56,3.2,250,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322694,1.44E+17,2.66E+16,0.8,6.17E-01,4.19E-01,6.77E-04,4.53E-11,1.08E+02,1.02E+02,1.68E-04,5.70E-05,1.97E-01,1.49E+07,4.72E-07,2.94E+00,-5.01E+00
Wafer 48,3.2,250,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.339867,1.44E+17,2.65E+16,0.8,6.16E-01,4.13E-01,6.82E-04,4.99E-11,1.08E+02,1.02E+02,1.68E-04,5.70E-05,2.03E-01,1.37E+07,4.72E-07,2.95E+00,-5.31E+00
Wafer 40,3.2,150,9.00E+12,3.76E+17,3.90E+16,30,0.019967,130,0.31508,3.17E+17,2.77E+16,0.8,6.30E-01,4.68E-01,6.32E-04,2.16E-11,1.08E+02,1.05E+02,1.60E-04,6.53E-05,1.62E-01,2.93E+07,4.80E-07,2.45E+00,-2.73E+00
Wafer 32,3.2,150,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.316817,2.48E+17,2.75E+16,0.8,6.27E-01,4.60E-01,6.40E-04,2.46E-11,1.08E+02,1.04E+02,1.62E-04,6.27E-05,1.67E-01,2.60E+07,4.79E-07,2.58E+00,-3.08E+00
Wafer 24,3.2,150,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.318591,1.79E+17,2.72E+16,0.8,6.24E-01,4.51E-01,6.50E-04,2.84E-11,1.08E+02,1.04E+02,1.63E-04,6.08E-05,1.73E-01,2.29E+07,4.77E-07,2.69E+00,-3.49E+00
Wafer 16,3.2,150,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.320405,1.49E+17,2.69E+16,0.8,6.21E-01,4.40E-01,6.60E-04,3.36E-11,1.08E+02,1.03E+02,1.65E-04,5.91E-05,1.80E-01,1.97E+07,4.75E-07,2.80E+00,-4.00E+00
Wafer 8,3.2,150,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.322261,1.45E+17,2.66E+16,0.8,6.17E-01,4.22E-01,6.75E-04,4.36E-11,1.08E+02,1.03E+02,1.67E-04,5.78E-05,1.95E-01,1.55E+07,4.73E-07,2.89E+00,-4.83E+00
